query,chunk_id
대구 통학버스 예약은 어떻게 하나요?,www_kumoh_ac_kr_ko_sub04_02_07_01_do_0001
오늘 푸름관 점심 메뉴가 뭔가요?,www_kumoh_ac_kr_dorm_restaurant_menu01_do_0001
이번주 오름관 식단 알려주세요!,www_kumoh_ac_kr_dorm_restaurant_menu02_do_0001
생활관 식당 운영시간이 어떻게 되나요?,www_kumoh_ac_kr_dorm_restaurant_menu01_do_0002
주말에도 생활관 식당 이용할 수 있나요?,www_kumoh_ac_kr_dorm_restaurant_menu01_do_0002
기숙사 식당 외부인도 먹을 수 있나요?,www_kumoh_ac_kr_dorm_restaurant_menu01_do_0002
생활관 식당에서 화학조미료 쓰나요?,www_kumoh_ac_kr_dorm_restaurant_menu01_do_0001
오늘 저녁 오름관 메뉴 알려주세요,www_kumoh_ac_kr_dorm_restaurant_menu02_do_0001
손혈관 등록 안하면 식당 못 가나요?,www_kumoh_ac_kr_dorm_restaurant_menu01_do_0002
기숙사 식당 영양성분 표시 있나요?,www_kumoh_ac_kr_dorm_restaurant_menu01_do_0001
생활관 식당 식사 시간 놓치면 어떡하죠?,www_kumoh_ac_kr_dorm_restaurant_menu01_do_0002
기숙사 식당 원산지 표시 어디서 볼 수 있나요?,www_kumoh_ac_kr_dorm_restaurant_menu01_do_0002
수강신청 언제부터 할 수 있나요?,www_kumoh_ac_kr_ko_sub02_03_03_04_do_0001
수강신청 전에 지도교수님 상담해야 하나요?,www_kumoh_ac_kr_ko_sub02_03_03_04_do_0001
휴학생도 수강신청 할 수 있어요?,www_kumoh_ac_kr_ko_sub02_03_03_04_do_0001
수강신청 최대 몇 학점까지 가능한가요?,www_kumoh_ac_kr_ko_sub02_03_03_04_do_0001
수강신청 변경기간은 언제예요?,www_kumoh_ac_kr_ko_sub02_03_03_04_do_0001
폐강된 과목 수강정정은 어떻게 하나요?,www_kumoh_ac_kr_ko_sub02_03_03_04_do_0001
수강신청 시스템 로그인은 어디서 하나요?,www_kumoh_ac_kr_ko_sub02_03_03_04_do_0001
수강정원 초과된 강의는 어떻게 신청하죠?,www_kumoh_ac_kr_ko_sub02_03_03_04_do_0001
필수과목은 자동으로 신청되나요?,www_kumoh_ac_kr_ko_sub02_03_03_04_do_0001
타과 수업도 들을 수 있나요?,www_kumoh_ac_kr_ko_sub02_03_03_04_do_0001
대구 통학버스 요금은 얼마인가요?,www_kumoh_ac_kr_ko_sub04_02_07_01_do_0001
계절학기 통학버스 운행 안내,www_kumoh_ac_kr_bus_index_jsp_0001
푸름관 1동 시설 안내해주세요,www_kumoh_ac_kr_dorm_sub0101_do_0001
오름관 입사 자격이 어떻게 되나요?,www_kumoh_ac_kr_dorm_sub0102_do_0001
생활관 입사신청 기간은 언제예요?,www_kumoh_ac_kr_dorm_sub0102_do_0001
기숙사 비용은 얼마인가요?,www_kumoh_ac_kr_dorm_sub0103_do_0001
생활관 입사 선발 기준 알려주세요,www_kumoh_ac_kr_dorm_sub0102_do_0001
기숙사 환불 규정이 궁금해요,www_kumoh_ac_kr_dorm_sub0103_do_0001
생활관 퇴사 절차는 어떻게 되나요?,www_kumoh_ac_kr_dorm_sub0301_do_0001
푸름관 2동 수용인원은?,www_kumoh_ac_kr_dorm_sub020102_do_0001
아름관 시설 현황 알려주세요,www_kumoh_ac_kr_dorm_sub020105_do_0001
생활관 규칙이 뭐가 있나요?,www_kumoh_ac_kr_dorm_sub0301_do_0001
기숙사 인터넷 사용 가능한가요?,www_kumoh_ac_kr_dorm_sub0101_do_0001
생활관 세탁실 이용 방법,www_kumoh_ac_kr_dorm_sub0101_do_0001
오름관3동 몇 명 수용하나요?,www_kumoh_ac_kr_dorm_sub0102_do_0001
생활관 식비 환불 신청은 어떻게?,www_kumoh_ac_kr_dorm_sub0303_do_0001
기숙사 입사 지원 서류 뭐가 필요해요?,www_kumoh_ac_kr_dorm_sub0102_do_0001
생활관 벌점 제도 있나요?,www_kumoh_ac_kr_dorm_sub0301_do_0001
푸름관4동 위치가 어디예요?,www_kumoh_ac_kr_dorm_sub020104_do_0001
생활관 입사 경쟁률이 어떻게 되나요?,www_kumoh_ac_kr_dorm_sub0102_do_0001
기숙사 방학 중 거주 가능한가요?,www_kumoh_ac_kr_dorm_sub0102_do_0001
생활관 전화번호 알려주세요,www_kumoh_ac_kr_dorm_index_do_0001
복수전공 신청 방법 알려주세요,www_kumoh_ac_kr_ko_sub02_03_04_01_do_0001
부전공은 어떻게 신청하나요?,www_kumoh_ac_kr_ko_sub02_03_04_01_do_0001
전과 제도 있나요?,www_kumoh_ac_kr_ko_sub02_03_02_01_do_0001
졸업 요건이 어떻게 되나요?,www_kumoh_ac_kr_ko_sub02_03_04_02_do_0001
학점 계산 방법 알려주세요,www_kumoh_ac_kr_ko_sub02_03_03_04_do_0001
재수강 신청은 어떻게 하나요?,www_kumoh_ac_kr_ko_sub02_03_03_04_do_0001
F학점 재수강 가능한가요?,www_kumoh_ac_kr_ko_sub02_03_03_04_do_0001
교양필수 과목은 뭐가 있나요?,www_kumoh_ac_kr_ko_sub02_03_04_02_do_0001
전공필수 이수학점은?,www_kumoh_ac_kr_ko_sub02_03_04_02_do_0001
학사경고 기준이 어떻게 되나요?,www_kumoh_ac_kr_ko_sub02_03_03_04_do_0001
성적 정정 신청 기간은?,www_kumoh_ac_kr_ko_sub02_03_03_04_do_0001
계절학기 수강 가능한가요?,www_kumoh_ac_kr_ko_sub02_03_03_05_do_0001
전공 인정 학점은 몇 학점인가요?,www_kumoh_ac_kr_ko_sub02_03_04_02_do_0001
수업 시간표는 어디서 보나요?,www_kumoh_ac_kr_ko_sub02_03_03_04_do_0001
강의평가 기간 언제예요?,www_kumoh_ac_kr_ko_sub02_03_03_04_do_0001
전자공학부는 어떤 곳인가요?,www_kumoh_ac_kr_ko_sub02_01_02_do_0001
기계공학부 커리큘럼 알려주세요,www_kumoh_ac_kr_ko_sub02_01_08_do_0001
컴퓨터공학과 전망이 어떤가요?,www_kumoh_ac_kr_ko_sub02_01_04_do_0001
건축학과 5년제인가요?,www_kumoh_ac_kr_ko_sub02_01_03_do_0001
신소재공학부에서 뭘 배우나요?,www_kumoh_ac_kr_ko_sub02_01_06_do_0001
산업경영학과 취업률은?,www_kumoh_ac_kr_ko_sub02_01_11_do_0001
에너지공학과는 어떤 학과예요?,www_kumoh_ac_kr_ko_sub02_01_08_do_0001
소프트웨어학부 정원이 몇 명이에요?,www_kumoh_ac_kr_ko_sub02_01_05_do_0001
응용화학과에서 취득 가능한 자격증은?,www_kumoh_ac_kr_ko_sub02_01_06_do_0001
학과별 전화번호 알려주세요,www_kumoh_ac_kr_ko_sub02_01_01_do_0001
총학생회 연락처 알려주세요,www_kumoh_ac_kr_ko_sub04_01_01_do_0001
동아리는 어떤 것들이 있나요?,www_kumoh_ac_kr_ko_sub04_01_02_do_0001
문화예술 동아리 종류는?,www_kumoh_ac_kr_ko_sub04_01_02_do_0001
체육 동아리 가입하고 싶어요,www_kumoh_ac_kr_ko_sub04_01_02_do_0001
학술 동아리 추천해주세요,www_kumoh_ac_kr_ko_sub04_01_02_do_0001
학생회 선거는 언제 하나요?,www_kumoh_ac_kr_ko_sub04_01_01_do_0001
동아리방은 어디 있나요?,www_kumoh_ac_kr_ko_sub04_01_02_do_0001
학생 자치기구 종류 알려주세요,www_kumoh_ac_kr_ko_sub04_01_01_do_0001
축제는 언제 하나요?,www_kumoh_ac_kr_ko_sub04_01_03_01_do_0001
봉사활동 동아리 있나요?,www_kumoh_ac_kr_ko_sub04_01_02_do_0001
장학금 종류 알려주세요,www_kumoh_ac_kr_ko_sub05_01_01_do_0001
국가장학금 신청 방법은?,www_kumoh_ac_kr_ko_sub05_01_01_do_0001
성적장학금 기준이 어떻게 되나요?,www_kumoh_ac_kr_ko_sub05_01_01_do_0001
"푸름관 3동은 여학생 전용관인데, 시설은 어떻게 되어 있나요?",www_kumoh_ac_kr_dorm_sub020104_do_0001
"각 호실의 평면도가 다소 다를 수 있다고 했는데, 구체적으로 어떤 차이가 있을까요?",www_kumoh_ac_kr_dorm_sub020104_do_0001
생활관의 입사 절차는 어떻게 되나요?,www_kumoh_ac_kr_dorm_index_do_0001
이번 주 금요일 식단은 뭐예요?,www_kumoh_ac_kr_dorm_index_do_0001
푸름관 4동에는 어떤 시설들이 있나요?,www_kumoh_ac_kr_dorm_sub020105_do_0001
관생실의 평면도는 어떻게 되나요?,www_kumoh_ac_kr_dorm_sub020105_do_0001
푸름관 1동은 몇 층으로 구성되어 있나요?,www_kumoh_ac_kr_dorm_sub020102_do_0001
관생실의 배치가 호실마다 어떻게 다른가요?,www_kumoh_ac_kr_dorm_sub020102_do_0001
대구통학버스 예약 후 미탑승 시 어떤 제재가 있나요?,www_kumoh_ac_kr_bus_index_jsp_0001
개교기념일에는 통학버스가 운영되지 않나요?,www_kumoh_ac_kr_bus_index_jsp_0001
생활관 제증명 발급 신청서는 어떻게 해야 하나요?,www_kumoh_ac_kr_dorm_sub0303_do_0001
경위서 양식은 어디서 받을 수 있나요?,www_kumoh_ac_kr_dorm_sub0303_do_0001
휴학 신청할 때 어떤 서류를 준비해야 하나요?,www_kumoh_ac_kr_ko_sub02_03_02_01_do_0001
공학교육인증 변경 신청은 어떻게 하나요?,www_kumoh_ac_kr_ko_sub02_03_02_01_do_0001
건축공학전공에서는 어떤 실습과정을 배우게 되나요?,www_kumoh_ac_kr_ko_sub02_01_03_do_0001
환경공학전공의 주요 연구 분야는 무엇인지 궁금해요.,www_kumoh_ac_kr_ko_sub02_01_03_do_0001
산업·빅데이터공학부에서 어떤 자격증을 취득할 수 있나요?,www_kumoh_ac_kr_ko_sub02_01_04_do_0001
졸업 후에는 주로 어떤 분야에서 일하게 되나요?,www_kumoh_ac_kr_ko_sub02_01_04_do_0001
